 Description City Street PostalCode Country Longitude Latitude isOwnedByWall isHandicappedAccessible Price canBePayedWithCoins canBePayedInApp canBePayedWithNFC hasChangingTable LabelID
92 "Wall CT, Wernsdorfer Str." Berlin "Wernsdorfer Str." 12527 Deutschland 13.6493298625 52.3758170027 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
93 "Wall CT, Winterfeldtplatz, Hohenstaufenstr." Berlin "Winterfeldtplatz, Hohenstaufenstr." 10781 Deutschland 13.3536221927 52.4948779984 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
94 "Wall CT, George-Grosz-Platz, Kurfürstendamm" Berlin "George-Grosz-Platz, Kurfürstendamm" 10707 Deutschland 13.31733472 52.5014806902 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
95 "Wall CT, Waldstr." Berlin Waldstr. 13156 Deutschland 13.4002351085133 52.5806731668297 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
96 "Wall CT, Fontanestr." Berlin Fontanestr. 14193 Deutschland 13.263703 52.487504 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
97 "Wall CT, S+U-Bhf. Wuhletal, Altentreptower Str." Berlin "S+U-Bhf. Wuhletal, Altentreptower Str." 12621 Deutschland 13.5748868504834 52.5129007399651 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
98 "Wall CT, U-Bhf. Kienberg, Neue Grottkauer Str." Berlin "U-Bhf. Kienberg, Neue Grottkauer Str." 12619 Deutschland 13.591577839657 52.5294186207121 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
99 "Wall CT, Quedlinburger Str." Berlin "Quedlinburger Str." 12627 Deutschland 13.6047018253 52.5393854731 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
100 "Wall CT, Hellersdorfer Str." Berlin "Hellersdorfer Str." 12627 Deutschland 13.6010719319 52.5358189594 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
101 "Wall CT, Pichelsdorfer Str." Berlin "Pichelsdorfer Str." 13595 Deutschland 13.1970124316781 52.5244093736923 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
102 "Wall CT, Moritzstr." Berlin Moritzstr. 13597 Deutschland 13.2011111111111 52.5383333333333 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
103 "Wall CT, Linkstr." Berlin Linkstr. 10785 Deutschland 13.3742894166 52.5055704086 1 1 "50 Cent" 1 0 1 0 "City Toilette"
104 "Wall CT, Wiltbergstr." Berlin Wiltbergstr. 13125 Deutschland 13.494606453114 52.6356555785213 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
105 "Wall CT, Schönhauser Allee" Berlin "Schönhauser Allee" 10437 Deutschland 13.411940574646 52.5430526733398 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
106 "Wall CT, Park am Weißen See, Parkstr." Berlin "Park am Weißen See, Parkstr." 13086 Deutschland 13.4587438498199 52.5555743891318 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
107 "Wall CT, Sonnenallee" Berlin Sonnenallee 12057 Deutschland 13.4643174809262 52.4703125033872 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
108 "Wall CT, Seestr." Berlin Seestr. 13353 Deutschland 13.3515952183918 52.5503828539617 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
109 "Wall CT, Savignyplatz" Berlin Savignyplatz 10623 Deutschland 13.322725 52.505252 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
110 "Wall CT, Schönefelder Chaussee" Berlin "Schönefelder Chaussee" 12524 Deutschland 13.5275184661 52.4109872979 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
111 "Wall CT, Briesingstr." Berlin Briesingstr. 12307 Deutschland 13.3984986623649 52.3865178510777 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
112 "Wall CT, Kurt-Schumacher-Damm" Berlin Kurt-Schumacher-Damm 13627 Deutschland 13.29402034 52.53625419 1 1 Kostenlos 1 1 1 0 "berliner Toilette"
113 "Wall CT, Imchenplatz, Imchenallee" Berlin "Imchenplatz, Imchenallee" 14089 Deutschland 13.1489187460324 52.4525249986595 1 1 "20 Cent" 1 0 1 0 "City Toilette"
114 "Wall CT, Lewishamstr." Berlin Lewishamstr. 10627 Deutschland 13.3026592616 52.5053471787 1 1 "50 Cent" 1 0 1 0 "City Toilette"
115 "Wall CT, Edinburger Str." Berlin "Edinburger Str." 13349 Deutschland 13.3483289012 52.5561112917 1 1 "50 Cent" 1 0 1 0 "City Toilette"
116 "Wall CT, Kranoldplatz, Bendastr." Berlin "Kranoldplatz, Bendastr." 12051 Deutschland 13.4368558397 52.4661676648 1 1 "50 Cent" 1 0 1 0 "City Toilette"
117 "Wall CT, Erich-Steinfurth-Str." Berlin Erich-Steinfurth-Str. 10243 Deutschland 13.4345572862 52.5114773654 1 1 "50 Cent" 1 0 1 0 "City Toilette"
118 "Wall CT, Debenzer Str." Berlin "Debenzer Str." 12683 Deutschland 13.54735 52.500953 1 1 "50 Cent" 1 0 1 0 "City Toilette"
119 "Wall CT, Helmholtzplatz, Raumerstr." Berlin "Helmholtzplatz, Raumerstr." 10437 Deutschland 13.4186597605807 52.5428997393468 1 1 "50 Cent" 1 0 1 0 "City Toilette"
120 "Wall CT, Schloßstr." Berlin Schloßstr. 12163 Deutschland 13.3214325154 52.457269514 1 1 "50 Cent" 1 0 1 0 "City Toilette"
121 "Wall CT, Str. des 17. Juni" Berlin "Str. des 17. Juni" 10557 Deutschland 13.3755391287496 52.5163720170624 1 1 "50 Cent" 1 0 1 0 "City Toilette"
122 "Wall CT, Wichertstr." Berlin Wichertstr. 10439 Deutschland 13.42732495 52.5458669801 1 1 "50 Cent" 1 0 1 0 "City Toilette"
123 "Wall CT, Arnswalder Platz, Bötzowstr." Berlin "Arnswalder Platz, Bötzowstr." 10407 Deutschland 13.4371079873968 52.5335952903103 1 1 "50 Cent" 1 0 1 0 "City Toilette"
124 "Wall CT, Unter den Linden" Berlin "Unter den Linden" 10117 Deutschland 13.3812694549561 52.5166091918945 1 1 "50 Cent" 1 0 1 0 "City Toilette"
125 "Wall CT, Am Falkplatz" Berlin "Am Falkplatz" 10437 Deutschland 13.4054260825 52.5467650349 1 1 "50 Cent" 1 0 1 0 "City Toilette"
126 "Wall CT, Warschauer Str." Berlin "Warschauer Str." 10243 Deutschland 13.4506315673 52.5076197422 1 1 "50 Cent" 1 0 1 0 "City Toilette"
127 "Wall CT, Trakehner Allee" Berlin "Trakehner Allee" 14053 Deutschland 13.2435201 52.512991 1 1 "50 Cent" 1 0 1 0 "City Toilette"
128 "Wall CT, Olympischer Platz" Berlin "Olympischer Platz" 14053 Deutschland 13.24459 52.51562 1 1 "50 Cent" 1 0 1 0 "City Toilette"
129 "Wall CT, Trakehner Allee" Berlin "Trakehner Allee" 14053 Deutschland 13.240781 52.5121801 1 1 "50 Cent" 1 0 1 0 "City Toilette"
130 "Wall CT, Landsberger Allee" Berlin "Landsberger Allee" 10369 Deutschland 13.4706950203 52.5310082107 1 1 "50 Cent" 1 0 1 0 "City Toilette"
131 "Toilette unteren Eingang Europacenter / Brunnen (Behinderten-WC)" Berlin Breitscheidplatz 10789 Deutschland 13.3367777777778 52.5045555555556 1 0 "50 Cent" 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
132 "Wall CT, Möllendorffstr." Berlin Möllendorffstr. 10367 Deutschland 13.4795858138 52.518999597 1 1 "50 Cent" 1 0 1 0 "City Toilette"
133 "Wall CT, Roedernstr." Berlin Roedernstr. 12623 Deutschland 13.6011724568 52.4825517916 1 1 "50 Cent" 1 0 1 0 "City Toilette"
134 "Wall CT, Kottbusser Tor, Kottbusser Str. " Berlin "Kottbusser Tor, Kottbusser Str. " 10999 Deutschland 13.4181981096 52.4986246968 1 1 "20 Cent" 1 0 1 0 "City Toilette"
135 "Wall CT, Elsterwerdaer Platz" Berlin "Elsterwerdaer Platz" 12683 Deutschland 13.5609083175659 52.5059394836426 1 1 "50 Cent" 1 0 1 0 "City Toilette"
