Street	PostalCode	Longitude	Latitude	Description
Argentinische Allee	14163	13,24017109	52,44234287	Wall CT, Argentinische Allee
S-Bhf. Zehlendorf, Teltower Damm	14165	13,259629	52,430962	Wall CT, S-Bhf. Zehlendorf, Teltower Damm
Brauerstr.	12209	13,326157	52,427696	Wall CT, Brauerstr.
S-Bhf. Grünau, Wassersportallee	12527	13,574246	52,413678	Wall CT, S-Bhf. Grünau, Wassersportallee
Sterndamm	12487	13,50934272	52,45369117	Wall CT, Sterndamm
S-Bhf. Köpenick, Stellingdamm	12555	13,58021912	52,45884687	Wall CT, S-Bhf. Köpenick, Stellingdamm
Kiefholzstr.	12437	13,48680536	52,46589117	Wall CT, Kiefholzstr.
Plesser Str.	12435	13,45114979	52,48906464	Wall CT, Plesser Str.
Schivelbeiner Str.	10439	13,41343229	52,55067675	Wall CT, Schivelbeiner Str.
Bornholmer Str.	10439	13,41329416	52,55375525	Wall CT, Bornholmer Str.
Steglitzer Damm	12167	13,33620516	52,45100851	Wall CT, Steglitzer Damm
Leonorenstr.	12247	13,34311524	52,43895764	Wall CT, Leonorenstr.
Platz der Luftbrücke, Tempelhofer Damm	12101	13,38683242	52,48424032	Wall CT, Platz der Luftbrücke, Tempelhofer Damm
Kurt-Schumacher-Platz, Scharnweberstr.	13405	13,32671558	52,56391959	Wall CT, Kurt-Schumacher-Platz, Scharnweberstr.
Gudrunstr.	10365	13,50882	52,51505	Wall CT, Gudrunstr.
Urbanstr.	10961	13,4085659	52,49274405	Wall CT, Urbanstr.
Platz der Vereinten Nationen, Landsberger Allee	10249	13,43298563	52,52350857	Wall CT, Platz der Vereinten Nationen, Landsberger Allee
Wühlischplatz, Wühlischstr.	10245	13,46391551	52,50790004	Wall CT, Wühlischplatz, Wühlischstr.
Grellstr.	10409	13,43822268	52,54148322	Wall CT, Grellstr.
Bülowstr.	10829	13,36691412	52,49385169	Wall CT, Bülowstr.
Weddingplatz, Reinickendorfer Str.	13347	13,3699105	52,54161114	Wall CT, Weddingplatz, Reinickendorfer Str.
Osloer Str.	13359	13,3843708	52,55596141	Wall CT, Osloer Str.
